provider,title,tags,rating,reviews
IBM Skills Network,IBM Data Analytics with Excel and R,Data Analysis& R Programming& Data Visualization& Plot (Graphics)& Data Management& Business Analysis& Exploratory Data Analysis& Data Mining& Data Visualization Software& SQL& Basic Descriptive Statistics& Statistical Visualization& General Statistics& Databases& Statistical Programming& Data Analysis Software& Interactive Data Visualization& Microsoft Excel& Spreadsheet Software& Statistical Analysis& Big Data& Probability &amp; Statistics& Database Theory& Regression& Statistical Tests& Data Science& Data Structures& Software Visualization& Machine Learning& User Experience& Probability Distribution& NoSQL& Python Programming& Applied Machine Learning& Deep Learning& Estimation& Geovisualization& Linear Algebra& Machine Learning Algorithms& Machine Learning Software& SAS (Software)& Spatial Data Analysis& Statistical Machine Learning& Cloud Computing& Data Architecture& Data Model& Data Warehousing& Database Administration& Database Application& Database Design& Mathematics& Visualization (Computer Graphics)& Advertising& Apache& Communication& Computational Logic& Computer Programming& Extract& Transform& Load& Leadership and Management& Marketing& Operating Systems& Professional Development& Programming Principles& System Programming& Theoretical Computer Science,4.7,(14.3k reviews)
IBM Skills Network,Applied Data Science,Python Programming& Data Analysis& Data Science& Data Structures& Data Visualization& Statistical Programming& Basic Descriptive Statistics& Programming Principles& Exploratory Data Analysis& Algebra& Machine Learning& Applied Machine Learning& Data Mining& General Statistics& Regression& Statistical Analysis& Statistical Tests& Statistical Visualization& Data Management& Extract& Transform& Load& Interactive Data Visualization& Machine Learning Algorithms& SQL& Computer Programming& Geovisualization& Plot (Graphics)& Algorithms& Business Analysis& Computational Logic& Computer Programming Tools& Correlation And Dependence& Data Analysis Software& Databases& Econometrics& Mathematical Theory &amp; Analysis& Mathematics& Probability &amp; Statistics& Spreadsheet Software& Statistical Machine Learning& Theoretical Computer Science,4.6,(42.8k reviews)
IBM Skills Network,IBM & Darden Digital Strategy,Entrepreneurship& Strategy and Operations& Business Analysis& Business Transformation& Leadership and Management& Marketing& Sales& Strategy& Data Science& Research and Design& Cloud Computing& Data Analysis& Data Management& Applied Machine Learning& Business Design& Innovation& Big Data& Market Analysis& Cloud Engineering& Cloud Infrastructure& Databases& NoSQL& Python Programming& SQL& Statistical Programming& Basic Descriptive Statistics& Cloud Applications& Cloud Management& Cloud Platforms& Cloud Storage& Data Mining& Data Structures& Data Visualization& Data Warehousing& DevOps& General Statistics& IBM Cloud& Machine Learning& Mathematics& Network Security& Probability &amp; Statistics& Software As A Service& Apache& BlockChain& Business Psychology& Change Management& Computer Architecture& Computer Graphics& Computer Networking& Computer Programming& Computer Vision& Data Visualization Software& Deep Learning& Design and Product& Digital Marketing& Extract& Transform& Load& Finance& Human Computer Interaction& Interactive Design& Internet Of Things& Machine Learning Algorithms& Microsoft Excel& Operating Systems& Organizational Development& Product Strategy& Professional Development& Security Engineering& Software Architecture& Software Engineering& Software Framework& System Programming& Theoretical Computer Science,4.7,(23k reviews)
IBM Skills Network,Data Analysis and Visualization Foundations,Data Analysis& Business Analysis& Microsoft Excel& Spreadsheet Software& Data Visualization& Data Management& Data Analysis Software& Data Science& Data Visualization Software& Plot (Graphics)& Statistical Visualization& Big Data& Databases& NoSQL& Python Programming& SQL& Statistical Programming& Basic Descriptive Statistics& Cloud Computing& Data Mining& Data Structures& Data Warehousing& General Statistics& Machine Learning& Mathematics& Probability &amp; Statistics& Apache& Computer Programming& Extract& Transform& Load& Leadership and Management& Operating Systems& Professional Development& System Programming,4.7,(13.8k reviews)
IBM Skills Network,IBM Applied AI,Machine Learning& Cloud Computing& IBM Cloud& Python Programming& Data Analysis& Computer Vision& Computer Programming& Computer Science& Data Structures& Programming Principles& Algebra& Applied Machine Learning& Computational Thinking& Data Science& Statistical Programming& Computer Graphics& Theoretical Computer Science& Computer Graphic Techniques& Deep Learning& Natural Language Processing& Algorithms& Artificial Neural Networks& Machine Learning Software& Basic Descriptive Statistics& Computational Logic& Design and Product& Exploratory Data Analysis& Human Computer Interaction& Interactive Design& Other Web Frameworks& Product Design& Web Development& Application Development& Cloud API& Machine Learning Algorithms& Mathematical Theory &amp; Analysis& Mathematics& Operating Systems& Software Engineering& Software Engineering Tools& Software Testing& Systems Design& Web Development Tools,4.6,(41.6k reviews)
DeepLearning.AI,DeepLearning.AI TensorFlow Developer,Machine Learning& Data Science& Deep Learning& Artificial Neural Networks& Tensorflow& Computer Vision& Natural Language Processing& Python Programming& Statistical Programming& Applied Machine Learning& Communication& Computer Graphic Techniques& Computer Graphics& Computer Programming& Entrepreneurship& Forecasting& General Statistics& Machine Learning Algorithms& Machine Learning Software& Marketing& Probability &amp; Statistics& Programming Principles& Statistical Machine Learning,4.7,(23k reviews)
DeepLearning.AI,Natural Language Processing,Machine Learning& Natural Language Processing& Statistical Programming& Python Programming& Artificial Neural Networks& Deep Learning& Machine Learning Algorithms& Data Science& Statistical Machine Learning& Probability &amp; Statistics& Algorithms& Bayesian Statistics& Communication& Computer Graphics& Computer Programming& Dimensionality Reduction& Experiment& General Statistics& Human Computer Interaction& Machine Learning Software& Markov Model& Mathematics& Operations Research& Regression& Research and Design& Strategy and Operations& Theoretical Computer Science& User Experience,4.6,(4.9k reviews)
IBM Skills Network,IBM AI Engineering,Machine Learning& Computer Programming& Python Programming& Computer Vision& Deep Learning& Statistical Programming& Artificial Neural Networks& Machine Learning Algorithms& Probability &amp; Statistics& General Statistics& Regression& Applied Machine Learning& Apache& Data Management& Data Mining& Data Analysis& Statistical Analysis& Big Data& Algorithms& Theoretical Computer Science& Statistical Machine Learning& Computer Graphics& Dimensionality Reduction& Tensorflow& Computer Graphic Techniques& Basic Descriptive Statistics& Business Analysis& Correlation And Dependence& Databases& Mathematics& NoSQL& SQL& Estimation& Econometrics& Entrepreneurship& Machine Learning Software& Probability Distribution& Data Science& Data Structures& IBM Cloud& Supply Chain Systems& Supply Chain and Logistics,4.6,(15.7k reviews)
Google,Ask Questions to Make Data-Driven Decisions,Business Analysis& Data Analysis& Communication& Big Data& Business Communication& Cloud Computing& Critical Thinking& Customer Analysis& Data Management& Leadership and Management& Small Data& Spreadsheet Software& Budget Management& Data Mining& Decision Making& Entrepreneurship& Finance& Problem Solving& Project Management,4.7,(21.3k reviews)
Macquarie University,Excel Skills for Business,Business Analysis& Microsoft Excel& Spreadsheet Software& Data Analysis& Data Visualization& Plot (Graphics)& Basic Descriptive Statistics& Computational Logic& Computer Architecture& Data Analysis Software& Data Management& Data Mining& Data Visualization Software& Extract& Transform& Load& Interactive Data Visualization& Mathematical Theory &amp; Analysis& Mathematics& Theoretical Computer Science,4.9,(55.7k reviews)
